codigo_localidad,anio,casos,sexo,mes,dia_semana,rango_hora,tipo_accidente,circunstancia,condicion_victima,medio_transporte,localidad,ciclo_vital
6,2015,1,Hombre,mayo,sábado,06:00 a 08:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Tunjuelito,(12 a 17) Adolescencia
0,2015,1,Hombre,abril,jueves,06:00 a 08:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
1,2015,1,Hombre,julio,miércoles,06:00 a 08:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Usaquén,(29 a 59) Adultez
8,2015,1,Hombre,mayo,jueves,06:00 a 08:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
8,2015,1,Hombre,julio,jueves,09:00 a 11:59,Choque con objeto fijo o en movimiento,Desobedecer señales de tránsito,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
0,2015,1,Hombre,agosto,domingo,Sin información,Sin información,Sin información,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
19,2015,1,Hombre,septiembre,martes,03:00 a 05:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Ciudad Bolívar,(29 a 59) Adultez
18,2015,1,Hombre,agosto,viernes,03:00 a 05:59,Sin información,Desobedecer señales de tránsito,Conductor,Bicicleta,Rafael Uribe Uribe,(29 a 59) Adultez
8,2015,1,Mujer,diciembre,jueves,21:00 a 23:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Kennedy,(29 a 59) Adultez
0,2015,1,Hombre,abril,viernes,09:00 a 11:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
10,2015,1,Hombre,abril,viernes,09:00 a 11:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Engativá,(29 a 59) Adultez
0,2015,1,Hombre,marzo,viernes,15:00 a 17:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(12 a 17) Adolescencia
0,2015,1,Hombre,diciembre,viernes,12:00 a 14:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Mujer,noviembre,viernes,12:00 a 14:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
8,2015,1,Hombre,octubre,jueves,09:00 a 11:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Kennedy,(18 a 28) Juventud
7,2015,1,Hombre,septiembre,sábado,15:00 a 17:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Bosa,(18 a 28) Juventud
0,2015,1,Hombre,agosto,martes,06:00 a 08:59,Sin información,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
10,2015,1,Mujer,diciembre,viernes,03:00 a 05:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Engativá,(29 a 59) Adultez
0,2015,1,Hombre,agosto,sábado,00:00 a 02:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
7,2015,1,Hombre,agosto,sábado,00:00 a 02:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Bosa,(18 a 28) Juventud
19,2015,1,Mujer,noviembre,viernes,12:00 a 14:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Ciudad Bolívar,(18 a 28) Juventud
